afe_output_relative_time_ui,afe_output_pulse_v_per_pam_unit
-1053.875,1.5837047957430282e-06
-1053.75,3.1673934994117717e-06
-1053.625,4.751066165673298e-06
-1053.5,6.3347228491907635e-06
-1053.375,7.918363604623477e-06
-1053.25,9.501988486626907e-06
-1053.125,1.1085597549852564e-05
-1053.0,1.2669190848948167e-05
-1052.875,1.2669063642814499e-05
-1052.75,1.2668936873909108e-05
-1052.625,1.2668810542200891e-05
-1052.5,1.2668684647659302e-05
-1052.375,1.2668559190253294e-05
-1052.25,1.2668434169952596e-05
-1052.125,1.2668309586726451e-05
-1052.0,1.266818544054448e-05
-1051.875,1.266806173137659e-05
-1051.75,1.266793845919232e-05
-1051.625,1.2667815623961893e-05
-1051.5,1.2667693225655117e-05
-1051.375,1.2667571264242532e-05
-1051.25,1.2667449739694145e-05
-1051.125,1.2667328651980509e-05
-1051.0,1.266720800107204e-05
-1050.875,1.2667087786939218e-05
-1050.75,1.266696800955278e-05
-1050.625,1.266684866888339e-05
-1050.5,1.2666729764902035e-05
-1050.375,1.266661129757958e-05
-1050.25,1.2666493266887162e-05
-1050.125,1.2666375672796113e-05
-1050.0,1.2666258515277832e-05
-1049.875,1.2666141794303707e-05
-1049.75,1.2666025509845308e-05
-1049.625,1.2665909661874198e-05
-1049.5,1.2665794250361835e-05
-1049.375,1.2665679275279859e-05
-1049.25,1.2665564736599811e-05
-1049.125,1.2665450634293598e-05
-1049.0,1.2665336968333228e-05
-1048.875,1.2665223738690738e-05
-1048.75,1.2665110945338237e-05
-1048.625,1.2664998588248737e-05
-1048.5,1.266488666739464e-05
-1048.375,1.2664775182748979e-05
-1048.25,1.2664664134284464e-05
-1048.125,1.266455352197395e-05
-1048.0,1.2664443345790194e-05
-1047.875,1.266433360570632e-05
-1047.75,1.2664224301695393e-05
-1047.625,1.2664115433730013e-05
-1047.5,1.2664007001783869e-05
-1047.375,1.2663899005830133e-05
-1047.25,1.2663791445842564e-05
-1047.125,1.2663684321794788e-05
-1047.0,1.2663577633660546e-05
-1046.875,1.266347138141368e-05
-1046.75,1.2663365565028017e-05
-1046.625,1.2663260184477735e-05
-1046.5,1.2663155239736636e-05
-1046.375,1.2663050730778857e-05
-1046.25,1.2662946657578534e-05
-1046.125,1.2662843020109971e-05
-1046.0,1.2662739818347563e-05
-1045.875,1.2662637052265837e-05
-1045.75,1.266253472183947e-05
-1045.625,1.2662432827043283e-05
-1045.5,1.2662331367852068e-05
-1045.375,1.2662230344241057e-05
-1045.25,1.2662129756185389e-05
-1045.125,1.2662029603660398e-05
-1045.0,1.2661929886641562e-05
-1044.875,1.2661830605104534e-05
-1044.75,1.2661731759024883e-05
-1044.625,1.2661633348378278e-05
-1044.5,1.2661535373140632e-05
-1044.375,1.2661437833287515e-05
-1044.25,1.2661340728794905e-05
-1044.125,1.266124405963881e-05
-1044.0,1.2661147825795231e-05
-1043.875,1.2661052027240193e-05
-1043.75,1.2660956663950177e-05
-1043.625,1.2660861735901372e-05
-1043.5,1.2660767243070362e-05
-1043.375,1.2660673185433718e-05
-1043.25,1.2660579562968107e-05
-1043.125,1.2660486375650166e-05
-1043.0,1.266039362345692e-05
-1042.875,1.266030130636527e-05
-1042.75,1.266020942435235e-05
-1042.625,1.2660117977395315e-05
-1042.5,1.2660026965471618e-05
-1042.375,1.2659936388558732e-05
-1042.25,1.265984624663433e-05
-1042.125,1.2659756539676082e-05
-1042.0,1.265966726766174e-05
-1041.875,1.2659578430569334e-05
-1041.75,1.2659490028376661e-05
-1041.625,1.2659402061061975e-05
-1041.5,1.2659314528603263e-05
-1041.375,1.2659227430978988e-05
-1041.25,1.2659140768167324e-05
-1041.125,1.2659054540146864e-05
-1041.0,1.2658968746896164e-05
-1040.875,1.2658883388393858e-05
-1040.75,1.2658798464618689e-05
-1040.625,1.265871397554904e-05
-1040.5,1.2658629921164284e-05
-1040.375,1.2658546301443022e-05
-1040.25,1.2658463116363982e-05
-1040.125,1.2658380365906545e-05
-1040.0,1.2658298050049967e-05
-1039.875,1.2658216168773333e-05
-1039.75,1.2658134722056344e-05
-1039.625,1.265805370987904e-05
-1039.5,1.2657973132220983e-05
-1039.375,1.2657892989062349e-05
-1039.25,1.2657813280383482e-05
-1039.125,1.2657734006164391e-05
-1039.0,1.2657655166385141e-05
-1038.875,1.2657576761026264e-05
-1038.75,1.2657498790067938e-05
-1038.625,1.2657421253490558e-05
-1038.5,1.2657344151274398e-05
-1038.375,1.2657267483399878e-05
-1038.25,1.2657191249847638e-05
-1038.125,1.2657115450598288e-05
-1038.0,1.2657040085632815e-05
-1037.875,1.2656965154931994e-05
-1037.75,1.2656890658477116e-05
-1037.625,1.2656816596249274e-05
-1037.5,1.2656742968229913e-05
-1037.375,1.2656669774400584e-05
-1037.25,1.2656597014742914e-05
-1037.125,1.2656524689238684e-05
-1037.0,1.2656452797869814e-05
-1036.875,1.2656381340618277e-05
-1036.75,1.2656310317465982e-05
-1036.625,1.2656239728395301e-05
-1036.5,1.2656169573388235e-05
-1036.375,1.2656099852427134e-05
-1036.25,1.2656030565494385e-05
-1036.125,1.265596171257225e-05
-1036.0,1.2655893293643422e-05
-1035.875,1.2655825308690365e-05
-1035.75,1.265575775769584e-05
-1035.625,1.2655690640642403e-05
-1035.5,1.2655623957512967e-05
-1035.375,1.265555770829036e-05
-1035.25,1.265549189295768e-05
-1035.125,1.265542651149812e-05
-1035.0,1.2655361563894792e-05
-1034.875,1.2655297050131368e-05
-1034.75,1.2655232970191398e-05
-1034.625,1.2655169324058731e-05
-1034.5,1.2655106111717264e-05
-1034.375,1.2655043333151047e-05
-1034.25,1.2654980988344254e-05
-1034.125,1.2654919077280855e-05
-1034.0,1.2654857599945177e-05
-1033.875,1.2654796556321279e-05
-1033.75,1.2654735946393575e-05
-1033.625,1.2654675770146255e-05
-1033.5,1.265461602756389e-05
-1033.375,1.2654556718630944e-05
-1033.25,1.2654497843332032e-05
-1033.125,1.2654439401651938e-05
-1033.0,1.2654381393575695e-05
-1032.875,1.2654323819087971e-05
-1032.75,1.2654266678174158e-05
-1032.625,1.2654209970819375e-05
-1032.5,1.2654153697008823e-05
-1032.375,1.2654097856727881e-05
-1032.25,1.2654042449962082e-05
-1032.125,1.265398747669731e-05
-1032.0,1.2653932936919221e-05
-1031.875,1.2653878830614031e-05
-1031.75,1.265382515776748e-05
-1031.625,1.2653771918366086e-05
-1031.5,1.2653719112395896e-05
-1031.375,1.265366673984339e-05
-1031.25,1.265361480069483e-05
-1031.125,1.2653563294936758e-05
-1031.0,1.265351222255554e-05
-1030.875,1.2653461583537897e-05
-1030.75,1.2653411377870463e-05
-1030.625,1.2653361605539717e-05
-1030.5,1.2653312266532706e-05
-1030.375,1.2653263360836263e-05
-1030.25,1.2653214888437386e-05
-1030.125,1.2653166849323282e-05
-1030.0,1.26531192434811e-05
-1029.875,1.2653072070898309e-05
-1029.75,1.2653025331562393e-05
-1029.625,1.2652979025461128e-05
-1029.5,1.265293315258222e-05
-1029.375,1.2652887712913616e-05
-1029.25,1.2652842706443423e-05
-1029.125,1.2652798133159552e-05
-1029.0,1.2652753993050231e-05
-1028.875,1.2652710286103774e-05
-1028.75,1.2652667012308486e-05
-1028.625,1.2652624171652776e-05
-1028.5,1.2652581764125235e-05
-1028.375,1.2652539789714593e-05
-1028.25,1.2652498248409834e-05
-1028.125,1.2652457140199813e-05
-1028.0,1.2652416465073717e-05
-1027.875,1.2652376223020457e-05
-1027.75,1.2652336414029197e-05
-1027.625,1.2652297038088985e-05
-1027.5,1.2652258095189148e-05
-1027.375,1.2652219585318812e-05
-1027.25,1.265218150846718e-05
-1027.125,1.2652143864623738e-05
-1027.0,1.265210665377813e-05
-1026.875,1.2652069875919617e-05
-1026.75,1.2652033531020139e-05
-1026.625,1.265199761849954e-05
-1026.5,1.265196212663496e-05
-1026.375,1.2651926895064492e-05
-1026.25,1.2651890410769318e-05
-1026.125,1.2651842466526324e-05
-1026.0,1.2651731994924011e-05
-1025.875,1.2651362989521163e-05
-1025.75,1.2650140714404783e-05
-1025.625,1.2646601118203178e-05
-1025.5,1.2637755245847735e-05
-1025.375,1.2618448714328057e-05
-1025.25,1.258106233278791e-05
-1025.125,1.2515840634226005e-05
-1025.0,1.2411921005230745e-05
-1024.875,1.2258877632466175e-05
-1024.75,1.2048446500388948e-05
-1024.625,1.1776101047540317e-05
-1024.5,1.1442217482980806e-05
-1024.375,1.105261508147189e-05
-1024.25,1.0618294904949331e-05
-1024.125,1.0154313705709912e-05
-1024.0,9.677944145895096e-06
-1023.875,9.20649893353248e-06
-1023.75,8.755303913590694e-06
-1023.625,8.336232230904752e-06
-1023.5000000000001,7.957005877932098e-06
-1023.3749999999999,7.621239137318297e-06
-1023.2499999999999,7.32903239232651e-06
-1023.1249999999999,7.077860527576144e-06
-1023.0,6.863522419956868e-06
-1022.875,6.680987555658223e-06
-1022.75,6.525054764697094e-06
-1022.625,6.390802636475684e-06
-1022.5,6.273852581192189e-06
-1022.375,6.17048515781384e-06
-1022.25,6.077654233299515e-06
-1022.1250000000001,5.992938417121677e-06
-1021.9999999999999,5.914460303395536e-06
-1021.8749999999999,5.840794730680668e-06
-1021.7499999999999,5.770879277464851e-06
-1021.625,5.703934158097839e-06
-1021.5,5.639394529589545e-06
-1021.375,5.576855630251998e-06
-1021.25,5.516029736155753e-06
-1021.125,5.456713265552995e-06
-1021.0,5.398762187983769e-06
-1020.875,5.3420739907134465e-06
-1020.7500000000001,5.28657467928394e-06
-1020.6249999999999,5.232209554765425e-06
-1020.4999999999999,5.1789367694581165e-06
-1020.3749999999999,5.126722891831033e-06
-1020.25,5.075539901970766e-06
-1020.125,5.0253631907232805e-06
-1020.0,4.9761702531148436e-06
-1019.875,4.927939855149253e-06
-1019.75,4.8806515184891906e-06
-1019.625,4.834285215025405e-06
-1019.5000000000001,4.788821197320293e-06
-1019.3750000000001,4.7442399148897064e-06
-1019.2499999999999,4.700521982986582e-06
-1019.1249999999999,4.657648182044226e-06
-1018.9999999999999,4.615599473735735e-06
-1018.875,4.574357024846629e-06
-1018.75,4.533902233607042e-06
-1018.625,4.4942167553857574e-06
-1018.5,4.4552825260774864e-06
-1018.375,4.417081782404466e-06
-1018.25,4.379597078893764e-06
-1018.1250000000001,4.342811301596061e-06
-1018.0000000000001,4.3067076787754035e-06
-1017.8749999999999,4.271269788871327e-06
-1017.7499999999999,4.236481566062956e-06
-1017.625,4.202327303745134e-06
-1017.5,4.1687916562141825e-06
-1017.375,4.135859638822788e-06
-1017.25,4.103516626837301e-06
-1017.125,4.071748353195645e-06
-1017.0,4.040540905339996e-06
-1016.875,4.009880721273776e-06
-1016.7500000000001,3.979754584967996e-06
-1016.6250000000001,3.950149621229689e-06
-1016.4999999999999,3.9210532901214715e-06
-1016.3749999999999,3.892453381020467e-06
-1016.25,3.864338006379021e-06
-1016.125,3.836695595252543e-06
-1016.0,3.809514886646877e-06
-1015.875,3.782784922728066e-06
-1015.75,3.75649504193782e-06
-1015.625,3.7306348720478677e-06
-1015.5,3.705194323184774e-06
-1015.3750000000001,3.680163580849422e-06
-1015.2500000000001,3.6555330989571544e-06
-1015.1249999999999,3.6312935929180117e-06
-1014.9999999999999,3.6074360327729546e-06
-1014.875,3.583951636404079e-06
-1014.75,3.5608318628288806e-06
-1014.625,3.5380684055917708e-06
-1014.5,3.515653186262019e-06
-1014.375,3.493578348045211e-06
-1014.25,3.471836249515638e-06
-1014.125,3.4504194584744347e-06
-1014.0000000000001,3.4293207459384326e-06
-1013.8750000000001,3.4085330802625415e-06
-1013.7499999999999,3.388049621397954e-06
-1013.6249999999999,3.3678637152889786e-06
-1013.5,3.347968888408042e-06
-1013.375,3.3283588424301307e-06
-1013.25,3.309027449047326e-06
-1013.125,3.2899687449208205e-06
-1013.0,3.271176926771728e-06
-1012.875,3.2526463466076557e-06
-1012.75,3.2343715070848125e-06
-1012.6250000000001,3.216347057002108e-06
-1012.5000000000001,3.198567786926983e-06
-1012.3749999999999,3.1810286249498778e-06
-1012.2499999999999,3.1637246325637994e-06
-1012.125,3.146651000668756e-06
-1012.0,3.129803045696499e-06
-1011.875,3.113176205853411e-06
-1011.75,3.0967660374789807e-06
-1011.625,3.080568211517051e-06
-1011.5,3.0645785100961933e-06
-1011.3750000000001,3.0487928232171837e-06
-1011.2500000000001,3.0332071455443766e-06
-1011.1249999999999,3.0178175732982266e-06
-1010.9999999999999,3.0026203012455533e-06
-1010.8749999999999,2.987611619785697e-06
-1010.75,2.9727879121289446e-06
-1010.625,2.9581456515645367e-06
-1010.5,2.9436813988163635e-06
-1010.375,2.92939179948235e-06
-1010.25,2.9152735815560996e-06
-1010.125,2.9013235530276424e-06
-1010.0000000000001,2.8875385995608453e-06
-1009.8750000000001,2.8739156822450814e-06
-1009.7499999999999,2.8604518354190406e-06
-1009.6249999999999,2.8471441645640324e-06
-1009.4999999999999,2.8339898442642115e-06
-1009.375,2.820986116232603e-06
-1009.25,2.8081302873997586e-06
-1009.125,2.795419728063265e-06
-1009.0,2.7828518700962583e-06
-1008.875,2.7704242052129075e-06
-1008.75,2.758134283288913e-06
-1008.6250000000001,2.745979710734863e-06
-1008.5000000000001,2.733958148922296e-06
-1008.3749999999999,2.7220673126567506e-06
-1008.2499999999999,2.710304968702462e-06
-1008.125,2.6986689343504208e-06
-1008.0,2.687157076033004e-06
-1007.875,2.675767307981446e-06
-1007.75,2.664497590924343e-06
-1007.625,2.653345930828728e-06
-1007.5,2.6423103776774527e-06
-1007.375,2.6313890242877548e-06
-1007.2500000000001,2.6205800051622616e-06
-1007.1250000000001,2.6098814953792824e-06
-1006.9999999999999,2.599291709514355e-06
-1006.8749999999999,2.588808900596195e-06
-1006.75,2.5784313590942867e-06
-1006.625,2.568157411936647e-06
-1006.5,2.557985421558159e-06
-1006.375,2.5479137849769646e-06
-1006.25,2.5379409328998663e-06
-1006.125,2.5280653288523837e-06
-1006.0,2.518285468337242e-06
-1005.8750000000001,2.5085998780160786e-06
-1005.7500000000001,2.499007114917012e-06
-1005.6249999999999,2.489505765664344e-06
-1005.4999999999999,2.4800944457318075e-06
-1005.375,2.4707717987173845e-06
-1005.25,2.461536495639504e-06
-1005.125,2.452387234254226e-06
-1005.0,2.443322738391202e-06
-1004.875,2.4343417573104425e-06
-1004.75,2.4254430650755536e-06
-1004.625,2.416625459947518e-06
-1004.5000000000001,2.4078877637933705e-06
-1004.3749999999999,2.3992288215138683e-06
-1004.2499999999999,2.390647500485996e-06
-1004.1249999999999,2.382142690022105e-06
-1004.0,2.3737133008439512e-06
-1003.875,2.365358264571612e-06
