series,offset_ui,value,unit
raw_channel_cursor,-8,9.872508649112764e-09,V_per_PAM_unit
raw_channel_cursor,-7,9.594463989436519e-09,V_per_PAM_unit
raw_channel_cursor,-6,9.316441782028132e-09,V_per_PAM_unit
raw_channel_cursor,-5,9.038440789689089e-09,V_per_PAM_unit
raw_channel_cursor,-4,8.760459746255523e-09,V_per_PAM_unit
raw_channel_cursor,-3,8.482496961611976e-09,V_per_PAM_unit
raw_channel_cursor,-2,4.452144475859997e-06,V_per_PAM_unit
raw_channel_cursor,-1,0.014844988339359298,V_per_PAM_unit
raw_channel_cursor,0,0.086053620830564,V_per_PAM_unit
raw_channel_cursor,1,0.04199715535359281,V_per_PAM_unit
raw_channel_cursor,2,0.014722723637671962,V_per_PAM_unit
raw_channel_cursor,3,0.010624816551087211,V_per_PAM_unit
raw_channel_cursor,4,0.009006366981087822,V_per_PAM_unit
raw_channel_cursor,5,0.007696627358861182,V_per_PAM_unit
raw_channel_cursor,6,0.006605760245724019,V_per_PAM_unit
raw_channel_cursor,7,0.005707094897015369,V_per_PAM_unit
raw_channel_cursor,8,0.004968104042214104,V_per_PAM_unit
raw_channel_cursor,9,0.004358445236277272,V_per_PAM_unit
raw_channel_cursor,10,0.003852542263563167,V_per_PAM_unit
raw_channel_cursor,11,0.0034297315049343496,V_per_PAM_unit
raw_channel_cursor,12,0.003073645690243927,V_per_PAM_unit
raw_channel_cursor,13,0.0027714249505663476,V_per_PAM_unit
raw_channel_cursor,14,0.002512978284480756,V_per_PAM_unit
raw_channel_cursor,15,0.002290365975137783,V_per_PAM_unit
raw_channel_cursor,16,0.0020973095532947597,V_per_PAM_unit
raw_channel_cursor,17,0.0019288128510040166,V_per_PAM_unit
raw_channel_cursor,18,0.0017808724183271875,V_per_PAM_unit
raw_channel_cursor,19,0.0016502571246710023,V_per_PAM_unit
raw_channel_cursor,20,0.0015343403275615594,V_per_PAM_unit
raw_channel_cursor,21,0.0014309716538966604,V_per_PAM_unit
raw_channel_cursor,22,0.0013383785644688817,V_per_PAM_unit
raw_channel_cursor,23,0.0012550903418931602,V_per_PAM_unit
raw_channel_cursor,24,0.00117987902073587,V_per_PAM_unit
raw_channel_cursor,25,0.0011117131809841414,V_per_PAM_unit
raw_channel_cursor,26,0.0010497215633895763,V_per_PAM_unit
raw_channel_cursor,27,0.0009931642301889848,V_per_PAM_unit
raw_channel_cursor,28,0.0009414095589797849,V_per_PAM_unit
raw_channel_cursor,29,0.0008939157748260938,V_per_PAM_unit
raw_channel_cursor,30,0.0008502160354972628,V_per_PAM_unit
raw_channel_cursor,31,0.0008099063158866203,V_per_PAM_unit
raw_channel_cursor,32,0.0007726355110339986,V_per_PAM_unit
raw_channel_cursor,33,0.0007380973079584858,V_per_PAM_unit
raw_channel_cursor,34,0.0007060234757398817,V_per_PAM_unit
raw_channel_cursor,35,0.0006761782990210511,V_per_PAM_unit
raw_channel_cursor,36,0.0006483539382464035,V_per_PAM_unit
raw_channel_cursor,37,0.0006223665448433228,V_per_PAM_unit
raw_channel_cursor,38,0.000598052994414161,V_per_PAM_unit
raw_channel_cursor,39,0.0005752681282260581,V_per_PAM_unit
raw_channel_cursor,40,0.0005538824146539228,V_per_PAM_unit
raw_channel_cursor,41,0.0005337799590944571,V_per_PAM_unit
raw_channel_cursor,42,0.000514856804243838,V_per_PAM_unit
raw_channel_cursor,43,0.0004970194732914753,V_per_PAM_unit
raw_channel_cursor,44,0.0004801837171189925,V_per_PAM_unit
raw_channel_cursor,45,0.00046427343346160533,V_per_PAM_unit
raw_channel_cursor,46,0.00044921973153892194,V_per_PAM_unit
raw_channel_cursor,47,0.00043496012016555375,V_per_PAM_unit
raw_channel_cursor,48,0.00042143780102239635,V_per_PAM_unit
mmse_ffe,-8,-0.004368632411652317,1_per_V
mmse_ffe,-7,-0.001455147319525374,1_per_V
mmse_ffe,-6,-0.003103034584079593,1_per_V
mmse_ffe,-5,-0.0021464767767918,1_per_V
mmse_ffe,-4,0.0043907251489669775,1_per_V
mmse_ffe,-3,-0.06455036840163798,1_per_V
mmse_ffe,-2,0.4113971041504721,1_per_V
mmse_ffe,-1,-2.45383572508675,1_per_V
mmse_ffe,0,13.666834212631164,1_per_V
mmse_ffe,1,-6.4039000581382375,1_per_V
mmse_ffe,2,1.1599653273178587,1_per_V
mmse_ffe,3,-0.9039019511265335,1_per_V
mmse_ffe,4,-0.18009034148622627,1_per_V
mmse_ffe,5,-0.2765404893593906,1_per_V
mmse_ffe,6,-0.19229165973301107,1_per_V
mmse_ffe,7,-0.12435485027344241,1_per_V
mmse_ffe,8,-0.21816181727522915,1_per_V
equalized_cursor,-16,-4.3129361268831854e-11,normalized_symbol
equalized_cursor,-15,-5.6280640854430875e-11,normalized_symbol
equalized_cursor,-14,-8.529620385657306e-11,normalized_symbol
equalized_cursor,-13,-1.0400548479019307e-10,normalized_symbol
equalized_cursor,-12,-5.757955445650688e-11,normalized_symbol
equalized_cursor,-11,-6.929962069791404e-10,normalized_symbol
equalized_cursor,-10,-1.6025609535093578e-08,normalized_symbol
