tx_relative_time_ui,tx_pulse_v_per_pam_unit,channel_relative_time_ui,channel_pulse_v_per_pam_unit
-1024.5,-5.900571697914358e-13,-1054.75,7.938549484028198e-07
-1024.375,2.0816681711721684e-18,-1054.625,1.5877014361615383e-06
-1024.25,-5.900571697914358e-13,-1054.5,2.3815394907042243e-06
-1024.125,2.6020852139652106e-18,-1054.375,3.175369139456864e-06
-1024.0,-5.900570396871751e-13,-1054.2500000000002,3.969190409843402e-06
-1023.875,2.7809785724253187e-18,-1054.1250000000002,4.7630033292858004e-06
-1023.7499999999999,-5.900572170558742e-13,-1054.0,5.556807925203874e-06
-1023.6249999999999,3.1059215868157497e-18,-1053.875,6.35060422501554e-06
-1023.4999999999999,-3.774325873405959e-19,-1053.75,6.3505373077338324e-06
-1023.3749999999999,1.2997244119584407e-18,-1053.625,6.35047060981955e-06
-1023.2499999999999,-8.516413358829557e-19,-1053.5,6.350404131256396e-06
-1023.1249999999999,1.3211808153035762e-18,-1053.375,6.350337872028251e-06
-1023.0,-1.39673880117662e-18,-1053.25,6.350271832119009e-06
-1022.875,1.6191643591696789e-18,-1053.125,6.3502060115126155e-06
-1022.75,-1.8236592884605483e-18,-1053.0000000000002,6.350140410193125e-06
-1022.625,2.008440849393054e-18,-1052.8750000000002,6.350075028144521e-06
-1022.5,-2.1570474860329007e-18,-1052.7500000000002,6.350009865350925e-06
-1022.3749999999999,2.3597398233328946e-18,-1052.625,6.349944921796449e-06
-1022.2499999999999,-2.5053606688336697e-18,-1052.5,6.3498801974653515e-06
-1022.1249999999999,2.5443705065216705e-18,-1052.375,6.349815692341845e-06
-1021.9999999999999,-3.0422472084948877e-18,-1052.25,6.349751406410285e-06
-1021.8749999999999,2.943503680924228e-18,-1052.125,6.349687339654956e-06
-1021.7499999999999,-3.3415310802839237e-18,-1052.0,6.34962349206028e-06
-1021.625,3.185495699998861e-18,-1051.875,6.3495598636107505e-06
-1021.5,-3.7465524571588785e-18,-1051.75,6.349496454290843e-06
-1021.375,3.691265690249304e-18,-1051.6250000000002,6.3494332640851456e-06
-1021.25,-3.895566066660101e-18,-1051.5000000000002,6.349370292978248e-06
-1021.125,4.2004741048700075e-18,-1051.3750000000002,6.349307540954837e-06
-1020.9999999999999,-4.079059211070494e-18,-1051.25,6.349245007999603e-06
-1020.8749999999999,4.49470555747757e-18,-1051.125,6.3491826940973235e-06
-1020.7499999999999,-4.459812101389878e-18,-1051.0,6.349120599232851e-06
-1020.6249999999999,4.901278394309429e-18,-1050.875,6.349058723391e-06
-1020.4999999999999,-4.704711494881513e-18,-1050.75,6.348997066556731e-06
-1020.3749999999999,5.395522119032313e-18,-1050.625,6.348935628715002e-06
-1020.25,-5.0583580073997784e-18,-1050.5,6.348874409850872e-06
-1020.125,5.699733340294205e-18,-1050.375,6.3488134099493875e-06
-1020.0,-5.3467568440721065e-18,-1050.2500000000002,6.3487526289956404e-06
-1019.875,6.138940437524751e-18,-1050.1250000000002,6.348692066974834e-06
-1019.7499999999999,-5.76416707041739e-18,-1050.0,6.348631723872135e-06
-1019.6249999999999,6.461016774784318e-18,-1049.875,6.348571599672816e-06
-1019.4999999999999,-6.023524919271962e-18,-1049.75,6.3485116943622105e-06
-1019.3749999999999,6.72748076684521e-18,-1049.625,6.348452007925675e-06
-1019.2499999999999,-6.414604994102948e-18,-1049.5,6.348392540348639e-06
-1019.1249999999999,7.058123882836744e-18,-1049.375,6.348333291616559e-06
-1018.9999999999999,-7.006648267881447e-18,-1049.25,6.348274261715013e-06
-1018.875,7.269456948815467e-18,-1049.125,6.348215450629549e-06
-1018.75,-7.290131170173372e-18,-1049.0,6.348156858345845e-06
-1018.625,7.681414731435046e-18,-1048.8750000000002,6.34809848484956e-06
-1018.5,-7.746660918355882e-18,-1048.7500000000002,6.348040330126425e-06
-1018.3749999999999,7.930474181663333e-18,-1048.625,6.347982394162218e-06
-1018.2499999999999,-8.102871359900817e-18,-1048.5,6.34792467694278e-06
-1018.1249999999999,8.262437974220868e-18,-1048.375,6.347867178453977e-06
-1017.9999999999999,-8.197599256469777e-18,-1048.25,6.347809898681788e-06
-1017.8749999999999,8.802289460069722e-18,-1048.125,6.347752837612173e-06
-1017.7499999999999,-8.550122126843951e-18,-1048.0,6.347695995231161e-06
-1017.625,8.915909830957148e-18,-1047.875,6.347639371524863e-06
-1017.5,-9.120761605964272e-18,-1047.75,6.3475829664794175e-06
-1017.375,9.291329391559035e-18,-1047.625,6.347526780081047e-06
-1017.25,-9.447120091818905e-18,-1047.5000000000002,6.347470812315959e-06
-1017.125,9.744986010601902e-18,-1047.3750000000002,6.347415063170482e-06
-1016.9999999999999,-9.783790376625744e-18,-1047.25,6.347359532630853e-06
-1016.8749999999999,1.0021705470615288e-17,-1047.125,6.3473042206835054e-06
-1016.7499999999999,-9.956192766101088e-18,-1047.0,6.347249127314936e-06
-1016.6249999999999,1.0644190314424718e-17,-1046.875,6.347194252511551e-06
-1016.4999999999999,-1.014365935530194e-17,-1046.75,6.347139596259883e-06
-1016.3749999999999,1.093474883695836e-17,-1046.625,6.347085158546523e-06
-1016.25,-1.0603003668236723e-17,-1046.5,6.3470309393581e-06
-1016.125,1.1220305811918203e-17,-1046.375,6.346976938681288e-06
-1016.0,-1.1005429104195303e-17,-1046.25,6.3469231565028605e-06
-1015.875,1.1547340517923596e-17,-1046.1250000000002,6.346869592809606e-06
-1015.75,-1.160454353144021e-17,-1046.0000000000002,6.346816247588291e-06
-1015.6249999999999,1.168630983868271e-17,-1045.875,6.346763120825912e-06
-1015.4999999999999,-1.1844637419163219e-17,-1045.75,6.346710212509407e-06
-1015.3749999999999,1.2155125452349285e-17,-1045.625,6.346657522625785e-06
-1015.2499999999999,-1.2108192299727822e-17,-1045.5,6.3466050511620655e-06
-1015.1249999999999,1.246761261563977e-17,-1045.375,6.346552798105382e-06
-1014.9999999999999,-1.2517341969603906e-17,-1045.25,6.346500763442904e-06
-1014.875,1.2976320999580186e-17,-1045.125,6.346448947161832e-06
-1014.75,-1.2651392129978229e-17,-1045.0,6.346397349249435e-06
-1014.625,1.3297198752132162e-17,-1044.875,6.346345969693e-06
-1014.5,-1.3207731972413224e-17,-1044.7500000000002,6.346294808479896e-06
-1014.375,1.3498686549024157e-17,-1044.6250000000002,6.346243865597479e-06
-1014.2499999999999,-1.3639652518345852e-17,-1044.5,6.346193141033274e-06
-1014.1249999999999,1.377185665974714e-17,-1044.375,6.346142634774767e-06
-1013.9999999999999,-1.3930421227473143e-17,-1044.25,6.346092346809469e-06
-1013.8749999999999,1.3958012126318065e-17,-1044.125,6.3460422771250016e-06
-1013.7499999999999,-1.4586055996075127e-17,-1044.0,6.3459924257090105e-06
-1013.6249999999999,1.4379168240067295e-17,-1043.875,6.345942792549183e-06
-1013.5,-1.4725412809592192e-17,-1043.75,6.3458933776332695e-06
-1013.375,1.4848906739143296e-17,-1043.625,6.34584418094911e-06
-1013.25,-1.4951274310413674e-17,-1043.5000000000002,6.345795202484523e-06
-1013.125,1.53535935363816e-17,-1043.3750000000002,6.345746442227398e-06
-1013.0,-1.5340226835350143e-17,-1043.2500000000002,6.3456979001657225e-06
-1012.8749999999999,1.5696985325409923e-17,-1043.125,6.345649576287481e-06
-1012.7499999999999,-1.5401411854976556e-17,-1043.0,6.345601470580778e-06
-1012.6249999999999,1.6129828508597793e-17,-1042.875,6.345553583033695e-06
-1012.4999999999999,-1.5759082932047138e-17,-1042.75,6.345505913634398e-06
-1012.3749999999999,1.6508423326058057e-17,-1042.625,6.345458462371118e-06
-1012.2499999999999,-1.6267861915852835e-17,-1042.5,6.345411229232096e-06
-1012.125,1.6660735525046987e-17,-1042.375,6.345364214205677e-06
-1012.0,-1.6627537458342784e-17,-1042.25,6.345317417280224e-06
-1011.875,1.697869907894191e-17,-1042.1250000000002,6.345270838444171e-06
-1011.75,-1.7263982712068334e-17,-1042.0000000000002,6.3452244776859455e-06
-1011.625,1.7090488568261512e-17,-1041.8750000000002,6.345178334994133e-06
-1011.4999999999999,-1.7668100931791472e-17,-1041.75,6.345132410357257e-06
-1011.3749999999999,1.730773527251647e-17,-1041.625,6.34508670376396e-06
-1011.2499999999999,-1.797117238088733e-17,-1041.5,6.345041215202905e-06
-1011.1249999999999,1.7839041444970252e-17,-1041.375,6.344995944662812e-06
-1010.9999999999999,-1.824123547715247e-17,-1041.25,6.344950892132454e-06
-1010.8749999999999,1.8383119741031187e-17,-1041.125,6.344906057600565e-06
-1010.75,-1.826008402818041e-17,-1041.0,6.344861441056077e-06
-1010.625,1.8965469119775057e-17,-1040.875,6.344817042487874e-06
-1010.5,-1.8564081340535894e-17,-1040.7500000000002,6.344772861884857e-06
-1010.375,1.9253896866409794e-17,-1040.6250000000002,6.344728899236092e-06
-1010.2499999999999,-1.9034203361902904e-17,-1040.5,6.344685154530595e-06
-1010.1249999999999,1.9542474622248616e-17,-1040.375,6.344641627757496e-06
-1009.9999999999999,-1.9439450683162177e-17,-1040.25,6.344598318906015e-06
-1009.8749999999999,1.9689647920323032e-17,-1040.125,6.344555227965377e-06
-1009.7499999999999,-1.9973360861543307e-17,-1040.0,6.344512354924844e-06
-1009.6249999999999,1.9919285335204694e-17,-1039.875,6.344469699773716e-06
-1009.4999999999999,-2.02918186144952e-17,-1039.75,6.344427262501473e-06
-1009.375,2.05258654810682e-17,-1039.625,6.34438504309742e-06
-1009.25,-2.0408600717837987e-17,-1039.5,6.344343041551145e-06
-1009.125,2.094320758909004e-17,-1039.3750000000002,6.344301257852146e-06
-1009.0,-2.0661144562999078e-17,-1039.2500000000002,6.344259691989862e-06
-1008.8749999999999,2.132666200993099e-17,-1039.125,6.344218343954027e-06
-1008.7499999999999,-2.089767104821481e-17,-1039.0,6.344177213734244e-06
-1008.6249999999999,2.209657190423427e-17,-1038.875,6.344136301320303e-06
-1008.4999999999999,-2.091557282899314e-17,-1038.75,6.3440956067018256e-06
-1008.3749999999999,2.2339693148922126e-17,-1038.625,6.344055129868716e-06
-1008.2499999999999,-2.1556406441304405e-17,-1038.5,6.344014870810846e-06
-1008.125,2.2502077553998842e-17,-1038.375,6.343974829518087e-06
-1008.0,-2.1905602804845197e-17,-1038.25,6.343935005980435e-06
-1007.875,2.293076266568353e-17,-1038.125,6.34389540018791e-06
-1007.75,-2.2264992970023817e-17,-1038.0000000000002,6.343856012130579e-06
-1007.625,2.2955908811548534e-17,-1037.8750000000002,6.343816841798555e-06
-1007.4999999999999,-2.3108756527266033e-17,-1037.75,6.343777889182049e-06
-1007.3749999999999,2.319181819934779e-17,-1037.625,6.343739154271262e-06
-1007.2499999999999,-2.3262570493336567e-17,-1037.5,6.343700637056477e-06
-1007.1249999999999,2.359512191500126e-17,-1037.375,6.343662337528062e-06
-1006.9999999999999,-2.3744592128200615e-17,-1037.25,6.343624255676397e-06
-1006.8749999999999,2.394972605451468e-17,-1037.125,6.3435863914918805e-06
-1006.75,-2.4112942892800838e-17,-1037.0,6.343548744965044e-06
-1006.625,2.4199130252942764e-17,-1036.875,6.343511316086379e-06
-1006.5,-2.4308149907301717e-17,-1036.75,6.343474104846534e-06
-1006.375,2.4684985621791808e-17,-1036.6250000000002,6.343437111236107e-06
-1006.25,-2.4652991164917418e-17,-1036.5000000000002,6.343400335245746e-06
-1006.1249999999999,2.5127243464519027e-17,-1036.375,6.343363776866182e-06
-1005.9999999999999,-2.4901044039737802e-17,-1036.25,6.343327436088205e-06
-1005.8749999999999,2.5456158248659176e-17,-1036.125,6.343291312902651e-06
-1005.7499999999999,-2.5273792902975453e-17,-1036.0,6.34325540730035e-06
-1005.6249999999999,2.607351796411129e-17,-1035.875,6.34321971927221e-06
-1005.4999999999999,-2.5305415004497106e-17,-1035.75,6.343184248809217e-06
-1005.375,2.6541586385530547e-17,-1035.625,6.3431489959023665e-06
-1005.25,-2.55833679148809e-17,-1035.5,6.343113960542779e-06
-1005.125,2.6699101199020674e-17,-1035.375,6.3430791427215605e-06
-1005.0,-2.6191036030724582e-17,-1035.2500000000002,6.343044542429904e-06
-1004.875,2.704502571168706e-17,-1035.1250000000002,6.343010159659051e-06
-1004.7499999999999,-2.6301648276596398e-17,-1035.0,6.342975994400282e-06
-1004.6249999999999,2.732621411835734e-17,-1034.875,6.342942046644951e-06
-1004.4999999999999,-2.723064150494684e-17,-1034.75,6.342908316384432e-06
-1004.3749999999999,2.713296572279038e-17,-1034.625,6.342874803610226e-06
-1004.2499999999999,-2.775923113355094e-17,-1034.5,6.342841508313747e-06
-1004.1249999999999,2.7601170504933614e-17,-1034.375,6.342808430486552e-06
-1004.0,-2.7930500513061754e-17,-1034.25,6.342775570120239e-06
-1003.875,2.795058220426737e-17,-1034.125,6.342742927206393e-06
-1003.75,-2.8613843433360486e-17,-1034.0000000000002,6.342710501736687e-06
-1003.625,2.798598164673576e-17,-1033.8750000000002,6.34267829370292e-06
-1003.5,-2.880621541038893e-17,-1033.7500000000002,6.342646303096784e-06
-1003.3749999999999,2.868579592505905e-17,-1033.625,6.342614529910106e-06
-1003.2499999999999,-2.8987065836819305e-17,-1033.5,6.342582974134774e-06
-1003.1249999999999,2.904422957993634e-17,-1033.375,6.3425516357626965e-06
-1002.9999999999999,-2.956790482512368e-17,-1033.25,6.34252051478584e-06
-1002.8749999999999,2.915322410868419e-17,-1033.125,6.342489611196249e-06
-1002.7499999999999,-2.977283498583361e-17,-1033.0,6.342458924985997e-06
-1002.625,2.983890734007074e-17,-1032.875,6.34242845614718e-06
-1002.5,-2.9856397340000385e-17,-1032.75,6.3423982046720125e-06
-1002.375,3.0112818842437e-17,-1032.6250000000002,6.342368170552722e-06
-1002.25,-3.047493845548286e-17,-1032.5000000000002,6.3423383537816004e-06
-1002.125,3.0363797672218895e-17,-1032.3750000000002,6.342308754351002e-06
-1001.9999999999999,-3.057685621627589e-17,-1032.25,6.3422793722533005e-06
-1001.8749999999999,3.1010135592480273e-17,-1032.125,6.3422502074809476e-06
-1001.7499999999999,-3.099985915549925e-17,-1032.0,6.342221260026441e-06
-1001.6249999999999,3.101674176704485e-17,-1031.875,6.3421925298823385e-06
-1001.4999999999999,-3.183299231483657e-17,-1031.75,6.34216401704123e-06
-1001.3749999999999,3.1280079884929936e-17,-1031.625,6.342135721495716e-06
-1001.25,-3.192542692553554e-17,-1031.5,6.342107643238468e-06
-1001.125,3.177300681049594e-17,-1031.375,6.34207978226224e-06
-1001.0,-3.235401674601366e-17,-1031.2500000000002,6.342052138559778e-06
-1000.875,3.1773418157074805e-17,-1031.1250000000002,6.34202471212392e-06
-1000.7499999999999,-3.272682662416124e-17,-1031.0,6.341997502947525e-06
-1000.6249999999999,3.218940373025109e-17,-1030.875,6.341970511023502e-06
-1000.4999999999999,-3.288439922655692e-17,-1030.75,6.341943736344825e-06
-1000.3749999999999,3.290648795778156e-17,-1030.625,6.341917178904561e-06
-1000.2499999999999,-3.311111118278544e-17,-1030.5,6.341890838695764e-06
-1000.1249999999999,3.326465255148511e-17,-1030.375,6.341864715711521e-06
-1000.0,-3.3421723758352484e-17,-1030.25,6.341838809945052e-06
-999.875,3.393531237349011e-17,-1030.125,6.3418131213895975e-06
-999.75,-3.359619274485096e-17,-1030.0,6.341787650038407e-06
-999.625,3.4517714329901663e-17,-1029.8750000000002,6.341762395884812e-06
-999.5,-3.3742662556833665e-17,-1029.7500000000002,6.341737358922203e-06
-999.3749999999999,3.4621232747218527e-17,-1029.625,6.341712539143997e-06
-999.2499999999999,-3.431511759400097e-17,-1029.5,6.341687936543675e-06
-999.1249999999999,3.49442189107736e-17,-1029.375,6.341663551114788e-06
-998.9999999999999,-3.456507979813052e-17,-1029.25,6.341639382850925e-06
-998.8749999999999,3.5226716299743973e-17,-1029.125,6.34161543174573e-06
-998.7499999999999,-3.50175025945717e-17,-1029.0,6.34159169779289e-06
-998.625,3.5514389688679336e-17,-1028.875,6.3415681809861435e-06
-998.5,-3.546950300157284e-17,-1028.75,6.341544881319319e-06
-998.375,3.5961363949823204e-17,-1028.625,6.3415217987862175e-06
-998.25,-3.5668178405061673e-17,-1028.5000000000002,6.341498933380769e-06
-998.125,3.622179612017785e-17,-1028.3750000000002,6.341476285096882e-06
-997.9999999999999,-3.623194103544147e-17,-1028.25,6.341453853928531e-06
-997.8749999999999,3.6491117762761166e-17,-1028.125,6.341431639869736e-06
-997.7499999999999,-3.6576419150428506e-17,-1028.0,6.34140964291456e-06
-997.6249999999999,3.6725547003912076e-17,-1027.875,6.341387863057115e-06
